2025-09-01 23:11:50.408 [http-nio-8080-exec-2] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 172ms
2025-09-01 23:11:50.408 [http-nio-8080-exec-4] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 172ms
2025-09-01 23:11:54.587 [http-nio-8080-exec-5] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 31ms
2025-09-01 23:11:55.103 [http-nio-8080-exec-6] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 34ms
2025-09-01 23:13:56.960 [http-nio-8080-exec-6] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 184ms
2025-09-01 23:14:02.899 [http-nio-8080-exec-3] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 254ms
2025-09-01 23:17:30.521 [http-nio-8080-exec-3] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 98ms
2025-09-01 23:22:38.858 [http-nio-8080-exec-1] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 54ms
2025-09-01 23:22:41.822 [http-nio-8080-exec-2] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 40ms
2025-09-01 23:35:08.910 [http-nio-8080-exec-2] INFO  OPERATION_LOGGER - 操作日志: 用户[null] 在模块[用户认证] 执行[登录]操作, 描述: 用户登录, 状态: 成功, 耗时: 263ms
2025-09-01 23:35:09.004 [http-nio-8080-exec-4] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 31ms
2025-09-01 23:37:28.546 [http-nio-8080-exec-4] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 42ms
2025-09-01 23:37:33.576 [http-nio-8080-exec-2] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 59ms
2025-09-01 23:39:44.770 [http-nio-8080-exec-2] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 22ms
2025-09-01 23:39:49.115 [http-nio-8080-exec-4] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 27ms
2025-09-01 23:39:59.143 [http-nio-8080-exec-2] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 49ms
2025-09-01 23:40:32.693 [http-nio-8080-exec-3] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 113ms
2025-09-01 23:40:32.758 [http-nio-8080-exec-2] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 82ms
2025-09-01 23:41:15.503 [http-nio-8080-exec-6] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 80ms
2025-09-01 23:41:18.941 [http-nio-8080-exec-8] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 26ms
2025-09-01 23:41:48.886 [http-nio-8080-exec-10] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 306ms
2025-09-01 23:42:35.961 [http-nio-8080-exec-7] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 45ms
2025-09-01 23:43:28.997 [http-nio-8080-exec-3] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 37ms
2025-09-01 23:43:30.281 [http-nio-8080-exec-8] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 19ms
2025-09-01 23:44:23.382 [http-nio-8080-exec-6] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 查询用户列表, 状态: 成功, 耗时: 48ms
2025-09-01 23:44:40.383 [http-nio-8080-exec-5] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 55ms
2025-09-01 23:44:42.936 [http-nio-8080-exec-6] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 17ms
2025-09-01 23:51:46.120 [http-nio-8080-exec-8] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 17ms
2025-09-01 23:56:46.884 [http-nio-8080-exec-4] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 67ms
