2025-09-03 16:03:24.317 [http-nio-8080-exec-4] INFO  OPERATION_LOGGER - 操作日志: 用户[null] 在模块[用户认证] 执行[登录]操作, 描述: 用户登录, 状态: 成功, 耗时: 426ms
2025-09-03 16:03:24.466 [http-nio-8080-exec-1] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 51ms
2025-09-03 16:04:05.138 [http-nio-8080-exec-6] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 28ms
2025-09-03 16:10:19.969 [http-nio-8080-exec-5] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 42ms
2025-09-03 16:10:33.220 [http-nio-8080-exec-4] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 24ms
2025-09-03 16:10:57.763 [http-nio-8080-exec-2] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 57ms
2025-09-03 16:11:17.953 [http-nio-8080-exec-7] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 73ms
2025-09-03 16:13:53.414 [http-nio-8080-exec-1] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 36ms
2025-09-03 16:16:41.803 [http-nio-8080-exec-8] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 21ms
2025-09-03 16:17:00.152 [http-nio-8080-exec-3] INFO  OPERATION_LOGGER - 操作日志: 用户[null] 在模块[用户认证] 执行[登录]操作, 描述: 用户登录, 状态: 成功, 耗时: 111ms
2025-09-03 16:17:00.343 [http-nio-8080-exec-1] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 22ms
2025-09-03 16:19:16.104 [http-nio-8080-exec-6] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 33ms
2025-09-03 16:19:17.984 [http-nio-8080-exec-8] INFO  OPERATION_LOGGER - 操作日志: 用户[admin] 在模块[用户管理] 执行[查询]操作, 描述: 获取当前用户信息, 状态: 成功, 耗时: 18ms
